burst_num,slope,intercept,r_value,p_value,std_err
5450,0.09309974336746242,570.654470794115,0.6241769425758413,4.909279435669193e-146,0.0031810675058282977
5451,0.21614253753235985,593.5485935962746,0.2558109838136892,0.00034195620880611983,0.059258141123529735
5453,2.400183087700146,614.4793031295487,0.4059023293793711,0.31839524621274645,2.206244817006739
5454,-0.07963371713679054,742.8856669054909,-0.1358304014150427,0.022765489265112463,0.03477395907334057
5456,5.070338375059143,580.4980344812217,0.7314376621453065,4.393444845455463e-06,0.8933190462216248
5461,57.51988445001791,605.2440919519886,0.6525810877235674,0.02143142151966229,21.119889360828015
5463,0.18609091213385145,608.4904460221228,0.5008503292728843,7.254726012103727e-34,0.014240203637302272
5464,0.1650824948735347,602.2875448355996,0.22919685828193032,0.0005150159840808772,0.046843659246510364
5465,1.1820631167878046,961.3639869188519,0.4539329784827237,0.011747077486318652,0.43849544209233043
5466,0.10113738456058612,607.1145154645159,0.0823319927437733,0.35553196260350484,0.10906385953464025
5467,14.219566800166492,666.9388794922237,0.7034609376302564,0.00018056874039633778,3.1350449813605574
5469,128.8816253555698,626.4229881629657,0.7968651628823641,0.0033197742408403604,32.57128242558779
5470,0.037610641227250025,589.859472096677,0.05407107594755861,0.4063217967056002,0.045212021508465365
5471,214.4680384146522,984.7477300954547,0.9761817646835906,2.5042589273776536e-09,13.759716960910213
5472,0.031775634569928615,939.659711118559,0.07153916412743049,0.13859387722580588,0.021414813934951378
5473,-0.21173037182016433,711.2202846899681,-0.6114657181852745,7.302957148801544e-66,0.010933430094791802
5474,-0.2720379155888226,858.3081984536684,-0.33948040638215515,3.146934137261475e-05,0.06325306696437756
5475,0.04208388896180602,570.4784938338189,0.16333748195354716,9.210607270530299e-05,0.010684391950555393
5476,0.22345924893448033,627.1514560596795,0.2287088547323391,0.0025468554480065305,0.07294987661322146
5477,0.604791744307033,563.8186788291903,0.4868075915170574,2.4598146067756914e-09,0.09445588968473936
5479,-0.05330914330879543,625.5821585416612,-0.3487001593183043,4.599128210091623e-32,0.004376232179212554
5480,0.001351235130649602,524.7136217863161,0.004479974290734617,0.9315595250345846,0.01572270038937628
5482,0.08079211237289986,673.8535950491402,0.5867009667561331,3.491195968225029e-95,0.003498525496596746
5483,13.250678707254213,640.5625550037718,0.8747921727075332,4.5204882454003046e-07,1.7297736938532147
5484,0.178046484149668,921.7401294261824,0.44062140293584734,2.365826496569723e-25,0.016189886670363255
5485,0.739371809280707,635.5675562582546,0.18573777866027888,0.3257621798202599,0.7391968307764969
5486,0.02175465754165685,706.9881300756872,0.08730312582983926,0.02300304835906392,0.009547456962634404
5487,-0.43618119538914313,563.714616574853,-0.23552784426700452,0.022299730357806948,0.18764537825820782
5489,-0.02432853252995483,624.7525013125783,-0.16600455784044588,3.241704897775896e-08,0.004369373827623083
5490,-0.3017020830543249,574.5250795177146,-0.2631527633262642,0.0015557907619376064,0.09348092989526376
5492,0.0009734668713073458,567.7898613355096,0.007122711456787087,0.8085226548990523,0.004016155581294635
5493,-0.0015469889841870053,563.4984375566411,-0.0057023503184177125,0.8934695334782186,0.011546669282486112
5494,-0.004166975539370044,590.8063381764573,-0.0076514795497325695,0.904185320507533,0.034580954429040474
5495,-0.047549160981840484,1076.590243069205,-0.08246221186190614,0.23980964025404675,0.04033278500972502
5497,0.09355631280138264,535.4210609822796,0.5637676087950002,1.232254294035955e-78,0.004513906700439568
5498,1.415188029661017,585.3518714689266,0.12419771776577153,0.8146613027889278,5.653207433135051
5499,47.48197115384615,662.0439423076923,0.9395732539776698,0.06042674602233023,12.233501902325644
5501,31.353400735294116,543.6808823529411,0.9497285510446237,0.05027144895537626,7.308326454159017
5503,0.09820159960532245,595.0882089988646,0.2370209530723253,1.9583181021198286e-11,0.014421416734408396
5504,-0.2107254825448077,626.4128079750262,-0.12423131300567515,0.34429184334747853,0.22100114824008243
5507,2.043196360758899,599.1827972405072,0.5305816900183322,5.208328571227652e-05,0.46161627812911815
5510,0.048019125042894385,711.3505168177003,0.14108177531629207,0.004912775367264591,0.016975771038598243
5512,-0.20334033234004248,634.6386756343373,-0.28699593567690296,2.273331957397225e-08,0.03557391648603403
5513,0.23100196861245836,598.1406908009867,0.19513722242034448,0.02439354029182027,0.1014401124747797
5515,-0.07940302018351944,687.5312691083049,-0.21580972475726184,1.8039022240318438e-05,0.018285881077325043
5516,0.2852746969221856,580.2948708964891,0.4684656262839308,3.507093210016804e-13,0.0367769920643021
5517,0.3332786242004385,664.6530149990193,0.2529846309559639,0.0066137153942876,0.12043201444978831
5518,-0.017143894864546063,559.7023890579728,-0.050833639940161046,0.3068887482556817,0.016757366036793998
5523,-0.2878132462772239,711.4290464959332,-0.23413487258425517,0.005364436607011206,0.10173317321930604
5524,-0.308866870375709,646.5018847392104,-0.5830924650544353,5.441474820918558e-32,0.023546896666260805
5526,0.16530132087144492,555.2626753031045,0.5148529690306884,1.2390572165977823e-39,0.0115897876955606
5527,-2.8970524524412,1063.2480085189418,-0.07303194601821843,0.8763474946247325,17.6928254412003
5528,-4.185836411105452,860.7067626082527,-0.09734822782461888,0.8355184755996421,19.138220427591406
5529,6.512033651979817,577.0063574475932,0.3613599979107959,0.37912282642649486,6.859863710483908
5530,28.2968783701853,660.0189910460225,0.66243322954918,4.3542128855573034e-06,5.260748090627394
5531,0.20000112739125447,608.769389294427,0.36961265957109596,4.923805124424049e-10,0.030944699155021096
5533,-4.489483438940013,1291.7199650337943,-0.6187901324298162,0.19028255214378764,2.849707856343029
5538,0.2578977303387914,877.6087250274995,0.30603002333290225,2.3924629118409213e-05,0.059469558184189156
5539,-0.4656029676999075,1212.8910763284316,-0.6058874380456616,4.803676714872972e-40,0.03119793641895097
5540,-0.038439419661182576,907.5386979276958,-0.14606485571182617,0.00033111955262193264,0.010646271506700368
5541,0.2831470678454461,653.8668247792046,0.3767554323383607,2.3832202502433398e-08,0.048741075977476046
5542,-0.034128143759579975,1241.8132610849184,-0.11409819553195664,0.004258235323472906,0.01189586768913129
5545,-0.11545274853733825,782.4594512714792,-0.06857685465382422,0.5022483326101812,0.17142236894422302
5546,0.09245851931301123,796.8105392916739,0.03714192123017268,0.845504588112813,0.47011465258058943
5547,3.12246047576832,1125.644725177305,0.1671855637506805,0.6923193445256738,7.517382120093392
5548,-0.040531005065412976,571.5839970675319,-0.3858417145342295,2.607811556449591e-53,0.002531093460703879
5551,0.02089713005491289,897.6008669968941,0.05434478526088593,0.23863266536329114,0.017710775486613897
5554,-0.08439436059741319,680.396458326387,-0.3716576417296043,9.626291004769412e-22,0.008480025442789215
5555,-0.021199472886003948,630.8431271633181,-0.05867762302800325,0.25134778639843375,0.018453210106671517
5556,49.17479669599018,728.1313557010365,0.9381050292061782,6.444523724556759e-06,5.7412630327135
5559,-0.05966092824660147,566.3814192624095,-0.05189495817129523,0.554550415342339,0.10069492401872254
5560,-23.92146017699115,548.7190265486726,-0.5814629235166008,0.4185370764833991,23.66721389553899
5563,4.805517374826518,562.5268228888651,0.8142145217963338,5.046656670148141e-10,0.5710843505249243
5564,-14.427888509615366,578.3318492761538,-0.41161749846620044,0.5883825015337997,22.58823730603804
5565,-0.039854849087837436,661.4864198895654,-0.0313555476363928,0.7567971133430933,0.12833353081910956
5566,-0.07587579278196196,542.6493455594778,-0.17130835014188073,0.0024347909476056507,0.024824331990974953
5567,3.493630598779834,579.8943278057031,0.7761060832604977,2.4463821768410225e-21,0.28674671752084346
5568,19.278652268171008,927.4935608886194,0.8856661364387926,3.1487490049378336e-14,1.6395877792496532
5569,0.07614949921477733,578.37081819452,0.10234293054130242,0.15561021906624217,0.05341610009156159
5571,-0.040576584113267214,634.3969101928807,-0.01523823363112191,0.9048712389419125,0.33813846970442013
5572,-1.722815527272748,1584.9430744015062,-0.7647970607398907,1.361232662019177e-31,0.11619809982682207
5573,0.11324508361482755,625.5942526086818,0.08591164981968644,0.5067342550907603,0.169544226607006
5574,0.01954916496929467,591.452598621852,0.13476502502008703,3.528117012387924e-05,0.004703244769827932
5575,1.0996045265931207,711.6280316504001,0.5024235777618642,1.0024554507842576e-07,0.1911523145748319
5581,0.30659519752535547,730.907327322435,0.4493785635375249,1.2426322989607393e-12,0.04072362798126687
5585,-0.0389802949457306,614.8623972848998,-0.3976744136291891,4.093031709706405e-69,0.0021233662768788074
5589,-0.019620066250032306,543.8785945646549,-0.13393462590401625,1.807655191656602e-05,0.004554388696082577
5590,0.06599728041242277,556.8738661540311,0.14822736753064641,0.005879392807285722,0.02381005391841951
5591,0.05588038871402964,557.8013243084399,0.3554968068247893,6.253757425169519e-33,0.004516922785975883
5592,7.279405581947741,828.9244242850357,0.16861869889183118,0.8921386999801236,42.55266116794417
5593,-0.07909948627364781,1022.2766767185606,-0.2554761338030936,2.464356332752933e-10,0.012282128810681867
5594,0.015549790902924111,594.5696687642525,0.011986893473103251,0.9057775668235027,0.13103088268942606
5597,0.07335799494880452,1085.2893985453716,0.09395031406030628,0.14339810414416584,0.04997080423025846
5599,3.4915865384615374,1319.8116346153847,0.19771363990892507,0.8022863600910749,12.240872746751965
5601,0.38421690423942234,680.161825345033,0.3260313238727878,4.149832178523082e-05,0.09096372974911425
5603,0.0540973795596183,584.158370223072,0.14232384611759474,0.004058921412947853,0.01871820346935806
5604,0.10163731084365134,654.3448670219519,0.09749385172585709,0.285377793212755,0.09471340429755648
5605,0.654289749145433,560.7418699833984,0.3113358940625941,0.019509309391088154,0.2717720191181731
5606,0.04754987692903939,619.7142878037693,0.22305687123223783,1.1657401223711484e-09,0.007712291243874247
5607,0.7424239552963883,867.0782608683188,0.07475360802560578,0.8603582730561752,4.043219771971596
5608,0.1985901592977464,713.8349145067275,0.11973647237392669,0.31642759153335376,0.19680970543050585
5610,0.08596820066325511,556.5190346045065,0.36348250067909993,1.0206324184925736e-24,0.008077887864661081
5612,-0.00903336009086121,620.6059544007378,-0.03763638209542048,0.3689293610598575,0.010046070446187652
5614,291.3438903888915,-772.6764600444717,0.8928972083621365,9.711758952373986e-15,23.832881988057583
5615,1.4191097918982774,732.9950927598666,0.23116654760692637,0.42651817633264855,1.7241495205884518
5617,0.10558391303498241,600.6669657601501,0.1927037934139062,0.0022105631172540463,0.034140069834038486
5618,0.09313479102399079,639.1267007081135,0.11383279622552372,0.1347577767824487,0.06197951223053342
5621,9.131675057872007,748.8053485222626,0.8335382690325894,3.1192928564848735e-20,0.7132813187891225
5622,-0.1737100155019834,700.1984766528924,-0.6751172960984815,3.0695481174168932e-111,0.006604523773994611
5624,-0.00016433597504261278,689.8395201601153,-0.0009049446928844576,0.9782513778792667,0.006026532547589625
5626,0.12022616134253634,662.7642710212696,0.14495931394161662,0.056332424457275924,0.06257156969209508
5627,-0.03949849502698856,621.3384458923399,-0.023783221662300322,0.8568588357634013,0.2180082886895611
5628,1.254358330853363,570.3127231252005,0.6606584369805075,6.909411899443728e-17,0.1290397175372449
5632,-0.0548414813838386,640.1279422801605,-0.132447131765739,0.009365422500870618,0.020998674484306593
5634,-0.5735207259450176,696.6748926116838,-0.03740099297061618,0.9182996770224539,5.417725855859267
5635,0.2395898007062287,1060.497942216426,0.31964183248146977,3.3644344913048493e-07,0.04565558059046788
5637,0.0572809343864241,874.961346388217,0.03434093554912192,0.72928290187644,0.1650599284642324
5638,4.542148330319281,891.6347592915939,0.3337174169245636,0.46447631215231766,5.73797403653672
5640,0.06896566468151834,716.1675608034133,0.0630381445562501,0.47962712668421037,0.0972701557910014
5644,0.22529357694869062,707.1428229423291,0.1667298076361497,0.062045749615165874,0.11964726858081942
5645,0.10046777497285315,610.9109304764294,0.2058632679704831,0.00021379514996472385,0.026823470390626176
5646,0.04890298238157107,603.9923583844871,0.2672075503195666,2.1432531383114824e-15,0.006049110614977455
5647,-8.788454049844235,1028.6872079439252,-0.8752524878393513,0.004410536474294797,1.9826649498460103
5648,-0.14708561930778663,546.9974957825589,-0.3180261365418301,7.392850462275903e-09,0.024745056663119797
5650,8.224658161068044,567.8471953057709,0.5140317044048199,0.19250988832756147,5.603040716240519
5654,0.14882807871840265,568.3887063356211,0.4406699931300266,6.525187359131632e-28,0.012857315929587452
5655,2.38994779707233,592.2068336203598,0.6663532961387016,2.3444431831983262e-07,0.394304660759978
5664,-0.5006858447768513,645.2473730995587,-0.09486681734896957,0.6907489122828274,1.238373414788019
5667,-0.14027479661967623,745.3006232715899,-0.23702492155581764,0.00011402654885528312,0.03579482010081959
5704,3.2397758223208917,754.0240334365441,0.5489378934728131,1.9532914702261847e-07,0.5658745038114514
5706,-0.05619395863338918,604.2380676224892,-0.39576655069211447,9.293365321380843e-46,0.0037895135585745217
5711,81.1480421558793,993.7366903096611,0.8827416947034535,1.2363097152235393e-06,10.79820557964275
5713,0.04415921992721344,751.9727408407996,0.10507345197648552,0.037087820817557064,0.021109338676919873
5715,-0.0680931514579318,652.9647124935457,-0.08149564568654995,0.3010516687674754,0.06563101016904917
5716,0.15474734277789054,584.1292729665718,0.4498049212578743,8.844363851279106e-26,0.013909202251907875
5718,-0.5230960789818273,624.2411289000614,-0.21342027124593108,0.07607127146127901,0.29038109504536036
5719,0.09809159897630709,801.8904699159452,0.04581694815049308,0.6943123459821768,0.24861852379452876
5723,-0.08016769118601366,576.5461168676901,-0.17403243410709968,0.002033713472342614,0.02576379762782743
5724,57.70175166723666,1026.9366621067031,0.7240684359045687,0.01789164178736981,19.43311093324816
5725,0.07184612257142846,1197.1955506258266,0.09708868485322854,0.08387941493785027,0.0414318753133797
5726,0.8005584400243005,547.7821008932791,0.47558320307978286,5.72249273266077e-07,0.14958003942033843
5729,0.27163642154051737,697.9292660149298,0.5723735584361677,2.1095975227416873e-37,0.019172112618768982
5730,1.7541013613000314,1027.8213185504096,0.4994024946195042,4.864994356076289e-05,0.39957051782933395
5731,-0.0620547607284581,761.1404875156207,-0.16433361533613408,0.0003468540843053417,0.017217930617673207
5733,3.859502542197011,523.1939506087438,0.30088329629388205,0.622764975557434,7.062632907429287
5736,-0.05400014856947146,650.9676287399207,-0.21152441912599393,1.1086951237297807e-07,0.010053199418047618
5740,7.684643058690745,651.7922686230248,0.4154602367608471,0.2324711432985876,5.948467712424909
5770,15.725468269499581,585.7729941291585,0.885568260987571,0.04566201220388866,4.762284042370723
5773,0.502970522671436,844.8852681579795,0.4301070043244649,1.6924274909451197e-12,0.06758526664036875
5867,0.4612798098179601,638.4953011859877,0.27153818949763414,0.005298883793701989,0.16188311057331073
5890,1.058839982132827,638.9121788425961,0.4436555919469075,0.0020133097394735467,0.3224494914004423
5955,0.9720628696628835,598.0411514992572,0.5484643088075782,1.5163377515838955e-08,0.1562145098724197
5983,0.03663437582429359,639.2518533725972,0.020943086707241317,0.8328715143481575,0.17316206463248007
5989,0.9275979377415198,847.9226057433021,0.6932506385835142,2.050217866845367e-31,0.06686368169377598
5995,1.2868634913071173,598.4664343711395,0.8329087916823098,7.774880644581216e-55,0.05957288745302014
6004,0.001327502631561977,578.7909234013521,0.003569584210871397,0.9448534906538159,0.019178784061762252
6082,3.085935508620083,654.4563058430587,0.30130259857540725,0.03742525946965123,1.4399213302514327
6083,0.14671939541936826,646.8869040724685,0.14210511075379695,0.06613945474459065,0.07932203821501635
6090,8.209894369843383,631.3960877823428,0.8548022941192864,1.0690036931866713e-14,0.7348888599246803
6091,116.45492039686201,1522.3151495923705,0.989324345959684,1.072704180852775e-09,5.424618375778668
6096,0.38260887076591976,1083.9747785202146,0.07261177646269576,0.6832014240725185,0.9290199762993981
6098,1.009249724685835,543.383083036005,0.34884409879299555,0.0023184172372290052,0.31953937341426886
6100,1.934354763707396,598.0357161602044,0.7560653073933717,5.944611797474746e-25,0.14917589803509546
6101,0.15449075021174327,639.6205690843958,0.19579459135626726,0.005007701149070606,0.054442479207498964
6102,-0.03903026259257296,636.0116453605557,-0.11566436580149922,0.011914883931882855,0.015460669873078205
6103,-0.012079925019193723,675.7180810727302,-0.028400773387544685,0.5780131416951106,0.021696677683855636
6104,-0.1319948473339738,557.5813987247329,-0.0788734877812779,0.44985702240889036,0.1739309705380257
6109,0.07030669360002827,541.7843666002566,0.20001998379395736,2.8181446208821635e-05,0.01660821151138248
6111,0.07188612314037063,614.3686416973104,0.2056614733101625,2.2597143653951616e-05,0.016771077262937917
6113,-0.18528478759685396,615.2533630146827,-0.31711020535153145,2.44297563150385e-08,0.03231783420048372
6115,-0.13391857167302706,627.7517692943736,-0.6576613095342634,9.593038782082342e-120,0.004961185464610133
6117,33.30217529113449,870.4818901828199,0.7028913599810533,0.11929689966099173,16.850217596838256
6118,0.024258990442177917,554.5467186187245,0.07037764808444164,0.14234085049523706,0.016504976251789892
6119,0.15038642853865827,686.0580774661807,0.11047893144988227,0.23366038116412222,0.1256126757836874
6120,1.6200589817880797,770.5322157836645,0.36100387047033156,0.482017891407961,2.092511080317247
6124,5.786469879085309,654.9846258565861,0.5643625414189335,1.823334936980408e-12,0.7423610069098155
6127,0.2777163773134957,916.7723962442028,0.6192559452500028,2.488777032129982e-59,0.0150698628820786
6128,-0.043729410270690966,570.9950927549097,-0.15485277402329237,0.00028120265807801643,0.011961473352860297
6131,-0.08356039428146719,978.4787873195108,-0.0324736852357593,0.7777565378879486,0.2950074586039602
6135,1.848770514424492,586.5073778333824,0.40487294948027114,0.0215274372460116,0.7623018746959328
6136,32.72876204731309,706.6203417056074,0.6056649255212923,0.012901333083457716,11.491938700437894
6137,-0.6246631063629695,901.3880860747952,-0.24018060672208436,0.05591982495264398,0.32063411530364827
6139,0.11751219382676634,574.5356917078094,0.20831768085858335,0.001170057593428412,0.03576303450417815
6141,-0.016985671206072438,548.7072411817435,-0.060012492690598336,0.18566496763628235,0.012815614794144451
6144,-14.39969784678372,727.2919137190213,-0.553614587920166,0.3329919984933415,12.505811216169935
6145,16.99294747081712,874.0311284046693,0.9954580543264063,0.0045419456735936725,1.149140209839225
6147,0.13420102231011566,595.8876249789065,0.21581991235562856,0.0005065118146567088,0.03809693045330177
6151,0.12465907029565401,592.917592552126,0.08508725959475336,0.41484685006392374,0.15219052079055143
6152,-0.0032967721804915496,723.0634259547883,-0.006860869943367313,0.9109870610755264,0.029461761533976536
6154,0.013449003695483956,593.6961805475743,0.03495447546137163,0.49351525444810385,0.019622585737929066
6158,-0.2559833411772342,621.6555117604419,-0.11025466848783678,0.3781608264587454,0.2884489029395283
6159,0.0330951371535242,1333.5346497075186,0.05989414173722605,0.237969387543167,0.028001648636818432
6165,0.08615039427848999,664.5129129207406,0.29244087294286625,5.97290576706019e-12,0.012236803149071098
6167,0.035468609327992215,1158.5787725639727,0.07561199107126738,0.09729982264370333,0.021349506315267757
6168,0.04817307540706176,633.6721729498962,0.10806520590159942,0.02043699249747857,0.02070784762035735
6176,0.026994529271505176,608.5429639825471,0.02316555636243977,0.8101603629648213,0.11209973452131707
6178,-0.891315607734807,546.4104627071823,-0.0767064774604201,0.8567385239063801,4.729795939904237
6180,14.958436222752045,618.0054495912807,0.6144014845012912,0.1050779725554611,7.842088936873674
6182,-0.11868127552874588,1042.443030908337,-0.025041783561834566,0.8917874045382006,0.8650079651273367
6186,-0.23445533400726234,1421.8809120135352,-0.1907990281199361,0.03234911206132129,0.10832296788173515
6188,0.11935179018552299,969.0518541361454,0.042266695195337274,0.7442873242878236,0.3642224786884809
6189,0.03859032563262542,639.4942032873927,0.014808630064308534,0.9075412403467389,0.3309177705498548
6190,-0.16722864727800116,689.0896537515126,-0.33778909821570174,1.8232564471750478e-10,0.025420693732793286
6194,-0.003851311747277488,632.7423685820886,-0.00665784327694329,0.9126438867562774,0.03507365524845168
6198,8.537330918152412,673.2832799626234,0.8991692563306977,1.9064104420479303e-30,0.4645302426723658
6204,9.936031253727782,1036.6104576722732,0.33132017841173267,0.11375718096686546,6.032593865891753
6205,33.28574062413746,1324.2144113993927,0.5235223051956841,0.037415697782613694,14.477871337247624
6206,0.29648199842134226,580.8707450290011,0.14686880955073195,0.3087803423867352,0.2882125691872764
6215,8.21828186394892,718.6354166666666,0.4101833512005868,0.4192317258822922,9.13627814537336
6216,87.92307443584941,867.0584450137958,0.9602163721717982,2.051926765833058e-11,6.027007118964186
6219,-1.6552075221804912,576.8562913600099,-0.3188302199630072,0.1481170944819472,1.1002721136744642
6222,0.002071848165372189,647.9050415933453,0.003829678938827032,0.9506186764083902,0.033422715198399
6223,-0.02154025326250634,1032.6895459678767,-0.010867092793481883,0.9208957045876693,0.21625797972565297
6225,-0.08859316948366522,578.2568576355612,-0.11858239414708537,0.11286065870661763,0.05560257107208897
6226,-0.005463521298756086,825.1379573399665,-0.015765838028500793,0.7266784812515894,0.015621367424157364
6227,-0.11081443303271557,564.741102624054,-0.052596203782966276,0.7284801482998333,0.3171860299815506
6228,0.026149628471450834,595.361245584626,0.05876714027785796,0.36672629346623964,0.028915035586376984
6229,0.12604346799933194,637.184937996834,0.18556091347815834,0.007577776177002498,0.04673152986467688
6230,4.851740056818182,593.1303977272727,0.7547548537520208,0.011627984728590286,1.490922445444814
6233,0.15396537706101776,621.9970910862546,0.05420300667038034,0.7465393535227873,0.4727260460949635
6234,-0.210692530032183,669.4576250738835,-0.7705674073795361,1.1285154994140906e-138,0.006596211620490284
6235,255.6762533739067,1713.2084992170808,0.791344120345363,1.924777209022852e-07,37.329383957142625
6237,-2.0524408898305606,649.1920955344633,-0.13229381419600894,0.8027169589391984,7.688950037600511
6238,5.411315829337344,667.801274885692,0.370487055938025,0.13016334880112826,3.3916392523788343
6241,-0.27768010725650455,671.7645156105913,-0.1443687440470682,0.24015922650055455,0.23427499458206413
6242,-0.08621050787641933,702.4397854466357,-0.3071451207883616,9.490703178864918e-15,0.010850838852961033
6243,0.04248512516650408,611.1416878753365,0.08653516357753475,0.15163037824836076,0.02954859337678393
6244,0.0010380463524051623,667.9386017835066,0.0037421034849891995,0.9299720345400159,0.011806695796320375
6249,0.09015247271313893,659.7913563556393,0.3975176986572437,1.315765322839053e-31,0.007375907213901813
6251,52.52411515941964,952.1256908371024,0.6955319474938348,0.0001611205171585638,11.56789065247497
6263,-0.15965893399613365,898.288145539906,-0.018531310342995554,0.9456920668995463,2.302228866270059
6266,0.13098169983002042,709.0373141102838,0.21314968006816246,0.0002317907518962466,0.03513482285876211
6267,-0.06932099762982119,771.7716685520362,-0.044296932236624745,0.6616653844929723,0.15792526237849996
6269,-0.03203780232104546,651.7271735420323,-0.04947315248001876,0.5095543081189942,0.04847870295266333
6270,0.15530940018852,869.2375926740768,0.25276379048119346,1.1493726892159797e-05,0.03479004637764285
6271,0.4406684778874551,765.5588299960608,0.7808755997452341,1.1048561581123838e-97,0.016295562954495354
6272,-0.04637553759133589,641.2568551572454,-0.28739404368886445,1.0338814186900711e-19,0.0049935443482960595
6273,-0.00404052965884278,593.6108380260175,-0.011548540035898319,0.8224551622800298,0.017994357818486528
6274,-0.06844398890501457,777.8449027199795,-0.13374328725431697,0.002286080222002365,0.022326422492201924
6275,-3.3683462037255363,657.4328999225249,-0.4657375296842052,0.09327148377221986,1.847524907876299
6279,-0.22723001913693575,734.3193433170743,-0.33541424763526734,4.282459067144364e-08,0.04020383149865244
6280,0.02668338627741547,728.1165300809345,0.09151523790603577,0.029772302020332306,0.012247659320236798
6281,3.247091548274862,693.5989311515416,0.5554930168040154,0.004832088794322318,1.0362819080023786
6283,0.32500971150052593,664.9043294869089,0.2396452440924485,0.007847165699959259,0.12019703182638436
6285,-0.014343045206684358,656.0915175652951,-0.029083865118131352,0.5941496928957102,0.02689278936810409
6288,0.3018254956989743,674.5223870390408,0.2114149779400436,0.03121081455219943,0.13816270138235193
6292,-1.0621322277220875,1206.4072655780851,-0.35952277759347007,0.004783410442375853,0.3619789102516615
6295,0.07453632482583825,1165.1702027649712,0.45052547235594304,2.0397627263106437e-71,0.003936259838008486
