burst_num,slope,intercept,r_value,p_value,std_err,min_time,max_time
105,0.6504676115786443,598.4950303237833,0.4427107001174997,5.534422931959127e-17,0.0734188708321854,-15.168000000000001,21.376
108,0.027044233339253557,448.93363458453314,0.031957507159904974,0.4758549334203771,0.037902270449993634,-26.112000000000002,26.176000000000002
109,0.13255138289105148,626.1533808218621,0.7119790816692856,0.0,0.002298837449868102,-118.784,359.36
111,0.00859811992070341,539.8430634342765,0.04867753060108637,0.009586890583452346,0.003316983754531116,-119.808,360.384
121,0.07054503914588747,482.62163194657154,0.47094452171543355,1.6764394939814118e-158,0.0024666329894815473,-118.208,293.12
130,-0.11605917393981474,479.8378629892044,-0.7390917773787606,0.0,0.0017938407814686072,-183.488,225.92000000000002
138,0.16074101154336523,485.8548188628918,0.1694109067419559,0.00014111363000804026,0.041903214561029314,-24.064,24.256
143,0.06581567782365455,1038.4207930815317,0.28882839592959214,3.511221382581096e-52,0.004235508883078089,-118.272,204.48000000000002
160,0.047509892999003205,587.9675551576405,0.11616934060865768,0.0001460214916073297,0.01246464303420685,-52.352000000000004,69.504
171,0.009863048661038003,547.242400293953,0.03869343808732889,0.12807947131157607,0.006478041978212391,-80.57600000000001,101.504
179,0.005944927001017773,527.7055848354353,0.006842552983838252,0.8846528020814582,0.04095547178724926,-22.016000000000002,28.864
185,0.011157802784438002,540.0936070496891,0.011109354339955245,0.8042902268238271,0.045003717410996,-24.128,24.064
204,0.02845118491803053,541.1012389202095,0.19709913156269163,5.790341480934797e-26,0.002673007149863285,-119.04,251.52
207,0.13888735289735651,1083.89325,0.08817871399842155,0.04876495283045904,0.07030549087358656,-24.0,24.0
214,0.03554600512817333,594.3664665596386,0.1868703992691576,6.800899318555996e-19,0.003967811663191087,-118.848,169.28
218,-0.05068365857038256,552.717762491703,-0.05202810938341956,0.24553671171706742,0.04359399223546954,-24.768,24.512
219,0.24658448092710641,799.4800105430012,0.5446534956562018,7.254325538022174e-144,0.008818142634332275,17.92,228.608
222,-0.0328027105863436,577.1767452113726,-0.2547080119240708,1.2671760463566265e-45,0.0022748790783649313,-118.784,293.312
223,-0.04670350055477154,539.7970924923696,-0.20436112797378922,1.1955209669104247e-18,0.005240989834038875,-89.72800000000001,116.992
228,-0.04112638473820261,599.7244410670359,-0.07860751206384753,0.028966507733737316,0.018795988659535332,-40.128,51.712
229,-0.012048858179708325,481.1371778173087,-0.012680902580488825,0.7772877807345879,0.0425741644944532,-24.128,24.448
235,-0.006161899672797326,582.0528903006642,-0.02389758059164522,0.3316897883561726,0.006345921111669305,-86.912,104.128
237,-0.085691063425846,768.4623364769625,-0.39365728617335094,3.7277889768379373e-90,0.004077801426155016,-118.016,164.8
249,-0.04629134085099487,1080.3614664876677,-0.12896006859243886,4.604046621510958e-08,0.008432356870603239,-74.752,126.72
254,-0.22304597337980667,939.8737250577037,-0.16926899372863422,0.0001429699851206671,0.058195543763838196,-24.96,24.832
257,0.019423136987924278,481.70257521390397,0.17185337788539742,7.605064486165838e-22,0.0020068607910938003,-119.616,328.25600000000003
288,-0.05911840990579498,555.1443305615401,-0.3463871789401396,3.877951190525125e-68,0.0032811531580034885,-119.808,169.024
289,0.011721914091563859,457.45762550625466,0.011545048263962429,0.7967792471306272,0.045494528130618335,-24.192,23.872
297,-0.028605580726906152,493.3659673499171,-0.02886934634997958,0.5195386318646116,0.04438314694062655,-24.768,24.32
298,0.09625359961271904,1202.7417596544371,0.063914834240728,0.1535621728229271,0.06734599212306303,-24.192,24.384
332,-0.014024102189441456,502.0885500966046,-0.09261161351464875,2.183629440309506e-06,0.002954735713442953,-119.808,207.68
351,-0.1895214989244526,495.29220735435655,-0.76796321399883,0.0,0.003021864949916118,-384.0,-208.832
373,-0.13974672764785892,1054.1035620943053,-0.08177546197746266,0.06769387402974619,0.07632151448011737,-25.472,24.192
394,-0.09532490478537126,471.02013732989883,-0.4917713033392106,2.3264969635414986e-148,0.003423193385080515,-118.272,359.872
398,-0.33593974938596766,621.3784469241621,-0.7933606813073316,0.0,0.006448261416975855,-83.008,105.28
401,0.013029710801031996,585.5635905125973,0.00961297056664682,0.8648444864971682,0.07648781813410685,-17.088,18.56
404,-0.05656844211914551,436.43886107488936,-0.23027768576998217,3.4062870680243356e-32,0.0047237421698437115,196.416,360.384
408,0.06946954816947067,526.4098985657133,0.557882721197858,2.1983098309985944e-256,0.0018448506704653153,-118.528,344.896
414,-0.049871219321672954,521.4660818354567,-0.1321626190713444,6.482828674625356e-05,0.012426557492609687,-55.232,66.688
432,-0.18586039225093842,1140.661498019894,-0.11662327849406882,0.009119637594617038,0.07099858984993505,-24.0,23.936
444,0.10715280564232299,947.266625,0.07600300148141048,0.08956791295473868,0.06299414032617971,-24.192,24.192
451,0.19249483058304726,535.9754489824013,0.40415516276080676,1.4803116453271368e-38,0.01416444338445476,-47.36,63.552
465,0.012599456464755495,468.7303829104221,0.031485121154221904,0.3552993701315079,0.013623146938187655,-46.08,55.808
467,0.06022464655131086,494.89649162317136,0.34500477473786556,7.889308826015696e-67,0.003376967687626565,-116.736,154.68800000000002
